DEPTH,DT,DTS,GR,RHO,VP,VS,VPVS,IP_ORIGINAL,IS,VSH,RHOm,RHOf,PHIE,SWE,LFC,K0,RHO_FLUID,K_FLUID,IP,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
2107.2349,128.324,337.561,85.638,2.244,2375.23767962,902.947911637,2.630536766305613,5330.03335308,2026.21511371,0.468829472816,2.72501271565,1.09,0.294195091602,1.0,4,20.564012773283707,1.09,2.8,5330.033353067281,2375.23767962,902.947911637,2.244,4,2375.23767962,902.947911637,2.244,4,2375.23767962,902.947911637,2.244,4,5330.033353067281,5330.033353067281,5330.033353067281,2.630536766305613,2.630536766305613,2.630536766305613,1.0
2107.3872,128.374,342.598,92.073,2.255,2374.3125555,889.672444089,2.6687491236521668,5354.07481266,2006.21136142,0.557289160767,2.73916626572,1.09,0.29358244574,1.0,4,18.3987017896687,1.09,2.8,5354.0748126525,2374.3125555,889.672444089,2.255,4,2374.3125555,889.672444089,2.255,4,2374.3125555,889.672444089,2.255,4,5354.0748126525,5354.0748126525,5354.0748126525,2.6687491236521668,2.6687491236521668,2.6687491236521668,1.0
2107.5396,128.414,345.98,102.006,2.241,2373.57297491,880.975778947,2.69425452053523,5319.17703677,1974.26672062,0.693834627809,2.76101354045,1.09,0.311196485164,1.0,4,15.000022281160927,1.09,2.8,5319.177036773311,2373.57297491,880.975778947,2.241,4,2373.57297491,880.975778947,2.241,4,2373.57297491,880.975778947,2.241,4,5319.177036773311,5319.177036773311,5319.177036773311,2.69425452053523,2.69425452053523,2.69425452053523,1.0
2107.6921,128.523,349.572,105.481,2.207,2371.55995425,871.923380591,2.719917835719153,5234.03281903,1924.33490096,0.741604233968,2.76865667743,1.09,0.334586985525,1.0,4,15.000020845946505,1.09,2.8,5234.03281902975,2371.55995425,871.923380591,2.207,4,2371.55995425,871.923380591,2.207,4,2371.55995425,871.923380591,2.207,4,5234.03281902975,5234.03281902975,5234.03281902975,2.719917835719153,2.719917835719153,2.719917835719153,1.0
2107.8445,128.877,346.06,102.254,2.19,2365.04574129,880.772120442,2.6851959620419676,5179.45017342,1928.89094377,0.697243796825,2.76155900749,1.09,0.341931696656,1.0,4,15.000022172217466,1.09,2.8,5179.4501734251,2365.04574129,880.772120442,2.19,4,2365.04574129,880.772120442,2.19,4,2365.04574129,880.772120442,2.19,4,5179.4501734251,5179.4501734251,5179.4501734251,2.6851959620419676,2.6851959620419676,2.6851959620419676,1.0
2107.9968,129.471,343.861,98.921,2.22,2354.19514795,886.404680961,2.655892053049277,5226.31322844,1967.81839173,0.65142621486,2.75422819438,1.09,0.321006576011,1.0,4,15.632134677048665,1.09,2.8,5226.313228449,2354.19514795,886.404680961,2.22,4,2354.19514795,886.404680961,2.22,4,2354.19514795,886.404680961,2.22,4,5226.313228449,5226.313228449,5226.313228449,2.655892053049277,2.655892053049277,2.655892053049277,1.0
2108.1492,130.562,346.086,97.793,2.264,2334.52306184,880.7059517,2.6507406442907997,5285.36021201,1993.91827465,0.635919994501,2.75174719912,1.09,0.293514681041,1.0,4,16.572248706487045,1.09,2.8,5285.360212005759,2334.52306184,880.7059517,2.264,4,2334.52306184,880.7059517,2.264,4,2334.52306184,880.7059517,2.264,4,5285.360212005759,5285.360212005759,5285.360212005759,2.6507406442907997,2.6507406442907997,2.6507406442907997,1.0
2108.3015,131.457,353.246,103.888,2.278,2318.62890527,862.854781087,2.6871600599454952,5281.8366462,1965.58319132,0.719705821706,2.76515293147,1.09,0.290811019293,1.0,4,15.000021480223165,1.09,2.8,5281.83664620506,2318.62890527,862.854781087,2.278,4,2318.62890527,862.854781087,2.278,4,2318.62890527,862.854781087,2.278,4,5281.83664620506,5281.83664620506,5281.83664620506,2.6871600599454952,2.6871600599454952,2.6871600599454952,1.0
2108.4541,131.92,364.027,113.707,2.268,2310.49120679,837.300529906,2.7594526986020047,5240.194057,1898.99760183,0.854684170733,2.78674946732,1.09,0.305731327641,1.0,4,15.000018087903115,1.09,2.8,5240.19405699972,2310.49120679,837.300529906,2.268,4,2310.49120679,837.300529906,2.268,4,2310.49120679,837.300529906,2.268,4,5240.19405699972,5240.19405699972,5240.19405699972,2.7594526986020047,2.7594526986020047,2.7594526986020047,1.0
2108.6064,132.09,362.734,114.996,2.256,2307.51760164,840.285167644,2.74611249905772,5205.75970929,1895.6833382,0.872403601622,2.78958457626,1.09,0.313949999143,1.0,4,15.000017720519207,1.09,2.8,5205.759709299839,2307.51760164,840.285167644,2.256,4,2307.51760164,840.285167644,2.256,4,2307.51760164,840.285167644,2.256,4,5205.759709299839,5205.759709299839,5205.759709299839,2.74611249905772,2.74611249905772,2.74611249905772,1.0
