DEPTH,VP,RHO,GR,IP_ORIGINAL,VSH,RHOm,RHOf,PHIE,VS,SWE,LFC,K0,RHO_FLUID,K_FLUID,IP,VPVS,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
1994.96484,2160.17,1.9295,88.8152,4168.048015,0.262499213226,2.69199987412,1.09,0.475967499396,795.3112473,1.0,4,23.65462222226018,1.09,2.8,4168.048015,2.7161315866380056,2160.17,795.3112473,1.9295,4,2160.17,795.3112473,1.9295,4,2160.17,795.3112473,1.9295,4,4168.048015,4168.048015,4168.048015,2.7161315866380056,2.7161315866380056,2.7161315866380056,1.0
1995.11719,2102.07,1.9444,88.3432,4087.264908,0.258373021701,2.69133968347,1.09,0.466446745298,750.5922583000004,1.0,4,23.990492806199065,1.09,2.8,4087.264908,2.800548469232725,2102.07,750.5922583000004,1.9444,4,2102.07,750.5922583000004,1.9444,4,2102.07,750.5922583000004,1.9444,4,4087.264908,4087.264908,4087.264908,2.800548469232725,2.800548469232725,2.800548469232725,1.0
1995.26965,2093.41,2.0066,89.4238,4200.636506,0.267819552553,2.69285112841,1.09,0.428144021766,743.9267428999999,1.0,4,24.31525579251293,1.09,2.8,4200.636506,2.8140001955560834,2093.41,743.9267428999999,2.0066,4,2093.41,743.9267428999999,2.0066,4,2093.41,743.9267428999999,2.0066,4,4200.636506,4200.636506,4200.636506,2.8140001955560834,2.8140001955560834,2.8140001955560834,1.0
1995.422,2056.68,1.9692,88.5473,4050.014256,0.260157249858,2.69162515998,1.09,0.451057574537,715.6560291999997,1.0,4,24.200710546986777,1.09,2.8,4050.014256,2.873838710335567,2056.68,715.6560291999997,1.9692,4,2056.68,715.6560291999997,1.9692,4,2056.68,715.6560291999997,1.9692,4,4050.014256,4050.014256,4050.014256,2.873838710335567,2.873838710335567,2.873838710335567,1.0
1995.57434,2083.39,1.9189,88.5673,3997.817071,0.260332088482,2.69165313416,1.09,0.482472214287,736.2144491000001,1.0,4,23.61244943607832,1.09,2.8,3997.817071,2.8298683930298854,2083.39,736.2144491000001,1.9189,4,2083.39,736.2144491000001,1.9189,4,2083.39,736.2144491000001,1.9189,4,3997.817071,3997.817071,3997.817071,2.8298683930298854,2.8298683930298854,2.8298683930298854,1.0
1995.72681,2218.34,1.8951,90.5701,4203.976134,0.277840428285,2.69445446853,1.09,0.498209506226,840.0841146000001,1.0,4,22.618524329549178,1.09,2.8,4203.9761340000005,2.640616530472364,2218.34,840.0841146000001,1.8951,4,2218.34,840.0841146000001,1.8951,4,2218.34,840.0841146000001,1.8951,4,4203.9761340000005,4203.9761340000005,4203.9761340000005,2.640616530472364,2.640616530472364,2.640616530472364,1.0
1995.87915,2223.19,1.9132,90.4421,4253.407108,0.276721461091,2.69427543377,1.09,0.486871155246,843.8171111000003,1.0,4,22.89761715788163,1.09,2.8,4253.407108,2.6346822916423784,2223.19,843.8171111000003,1.9132,4,2223.19,843.8171111000003,1.9132,4,2223.19,843.8171111000003,1.9132,4,4253.407108,4253.407108,4253.407108,2.6346822916423784,2.6346822916423784,2.6346822916423784,1.0
1996.03162,2237.89,1.9837,89.3928,4439.302393,0.267548552686,2.69280776843,1.09,0.442415979256,855.1315540999999,1.0,4,24.0801564237307,1.09,2.8,4439.302393,2.617012539497869,2237.89,855.1315540999999,1.9837,4,2237.89,855.1315540999999,1.9837,4,2237.89,855.1315540999999,1.9837,4,4439.302393,4439.302393,4439.302393,2.617012539497869,2.617012539497869,2.617012539497869,1.0
1996.18396,2188.08,2.0618,89.4324,4511.383344,0.267894733161,2.69286315731,1.09,0.393709939884,816.7932951999998,1.0,4,24.864870907725976,1.09,2.8,4511.383344,2.678866260115697,2188.08,816.7932951999998,2.0618,4,2188.08,816.7932951999998,2.0618,4,2188.08,816.7932951999998,2.0618,4,4511.383344,4511.383344,4511.383344,2.678866260115697,2.678866260115697,2.678866260115697,1.0
1996.33643,2186.51,2.1141,90.5309,4622.500791,0.277497744582,2.69439963913,1.09,0.361692701107,815.5848819000001,1.0,4,25.014750283674793,1.09,2.8,4622.500791,2.6809104098475562,2186.51,815.5848819000001,2.1141,4,2186.51,815.5848819000001,2.1141,4,2186.51,815.5848819000001,2.1141,4,4622.500791,4622.500791,4622.500791,2.6809104098475562,2.6809104098475562,2.6809104098475562,1.0
