DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SWE,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE,LFC,IS_SAND,IS_SHALE,K_MINERAL,RHO_FLUID,K_FLUID,VP_FRM_BRINE,VS_FRM_BRINE,RHO_FRM_BRINE,KDRY_FRM_BRINE,LFC_BRINE,VP_FRM_OIL,VS_FRM_OIL,RHO_FRM_OIL,KDRY_FRM_OIL,LFC_OIL,VP_FRM_GAS,VS_FRM_GAS,RHO_FRM_GAS,KDRY_FRM_GAS,LFC_GAS,IP_FRM_BRINE,VPVS_FRM_BRINE,IP_FRM_OIL,VPVS_FRM_OIL,IP_FRM_GAS,VPVS_FRM_GAS,KDRY_MU_RATIO
2016.7581,2346.3,870.8000000000003,2.0927,87.3307,0.4537,2.256257000000001,1.0,1.0,2.6944189251263198,5293.8557991000025,1964.7485956000005,0.4420261821267673,2.7207241891402827,1.09,0.2848226525572961,4,False,True,21.404951726187946,1.09,2.8,2346.3,870.8000000000003,2.256257000000001,,4,2346.3,870.8000000000003,2.256257000000001,,4,2346.3,870.8000000000003,2.256257000000001,,4,5293.8557991000025,2.6944189251263198,5293.8557991000025,2.6944189251263198,5293.8557991000025,2.6944189251263198,
2016.9104,2278.7000000000007,859.3,2.0373,88.0504,0.4665,2.2523119999999968,1.0,1.0,2.6518096124752715,5132.3433543999945,1935.411701599997,0.4501912209665762,2.722030595354652,1.09,0.287812371098706,4,False,True,21.146468817968376,1.09,2.8,2278.7000000000007,859.3,2.2523119999999968,,4,2278.7000000000007,859.3,2.2523119999999968,,4,2278.7000000000007,859.3,2.2523119999999968,,4,5132.3433543999945,2.6518096124752715,5132.3433543999945,2.6518096124752715,5132.3433543999945,2.6518096124752715,
2017.0627,2289.1,834.5,2.0036,87.2316,0.4898,2.249670500000005,1.0,1.0,2.743079688436189,5149.720741550012,1877.350032250005,0.440901886796734,2.720544301887477,1.09,0.2887832003965792,4,False,True,21.37060799132307,1.09,2.8,2289.1,834.5,2.249670500000005,,4,2289.1,834.5,2.249670500000005,,4,2289.1,834.5,2.249670500000005,,4,5149.720741550012,2.743079688436189,5149.720741550012,2.743079688436189,5149.720741550012,2.743079688436189,
2017.2152,2294.4,835.4,2.0673,88.7209,0.4572,2.238456000000002,1.0,1.0,2.746468757481446,5135.913446400004,1870.0061424000016,0.457798082911959,2.7232476932659133,1.09,0.296826804204144,4,False,True,20.802051502327103,1.09,2.8,2294.4,835.4,2.238456000000002,,4,2294.4,835.4,2.238456000000002,,4,2294.4,835.4,2.238456000000002,,4,5135.913446400004,2.746468757481446,5135.913446400004,2.746468757481446,5135.913446400004,2.746468757481446,
2017.3676,2461.8,892.7,2.0882,90.2616,0.446,2.2413380000000003,1.0,1.0,2.757701355438557,5517.725888400001,2000.8424326000008,0.4752774150510358,2.7260443864081663,1.09,0.2962672592718028,4,False,True,20.3649430619069,1.09,2.8,2461.8,892.7,2.2413380000000003,,4,2461.8,892.7,2.2413380000000003,,4,2461.8,892.7,2.2413380000000003,,4,5517.725888400001,2.757701355438557,5517.725888400001,2.757701355438557,5517.725888400001,2.757701355438557,
2017.52,2495.4,886.7,2.0919,91.1066,0.4496,2.25,1.0,1.0,2.814255103191609,5614.650000000001,1995.075,0.4848639897622189,2.727578238361956,1.09,0.2916368984236561,4,False,True,20.20260858276399,1.09,2.8,2495.4,886.7,2.25,,4,2495.4,886.7,2.25,,4,2495.4,886.7,2.25,,4,5614.650000000001,2.814255103191609,5614.650000000001,2.814255103191609,5614.650000000001,2.814255103191609,
2017.6724,2518.7,905.4,2.1092,93.1383,0.4593,2.284896,1.0,1.0,2.781864369339518,5754.967555199999,2068.7448384,0.5079137457867288,2.7312661993258764,1.09,0.2719669725174478,4,False,True,19.96965359573973,1.09,2.8,2518.7,905.4,2.284896,,4,2518.7,905.4,2.284896,,4,2518.7,905.4,2.284896,,4,5754.967555199999,2.781864369339518,5754.967555199999,2.781864369339518,5754.967555199999,2.781864369339518,
2017.8248,2400.8,951.1,2.1034,90.3819,0.4729,2.2912400000000046,1.0,1.0,2.524235096204395,5500.808992000011,2179.198364000005,0.476642225628261,2.726262756100521,1.09,0.2658636300793437,4,False,True,20.834472907672744,1.09,2.8,2400.8,951.1,2.2912400000000046,,4,2400.8,951.1,2.2912400000000046,,4,2400.8,951.1,2.2912400000000046,,4,5500.808992000011,2.524235096204395,5500.808992000011,2.524235096204395,5500.808992000011,2.524235096204395,
2017.9772,2515.6,942.5,2.1174,90.1941,0.4934,2.2845779999999976,1.0,1.0,2.669071618037135,5747.084416799994,2153.214764999998,0.4745116235800241,2.7259218597728045,1.09,0.2697829710730192,4,False,True,20.824200514515223,1.09,2.8,2515.6,942.5,2.2845779999999976,,4,2515.6,942.5,2.2845779999999976,,4,2515.6,942.5,2.2845779999999976,,4,5747.084416799994,2.669071618037135,5747.084416799994,2.669071618037135,5747.084416799994,2.669071618037135,
2018.1296,2365.5,944.9,2.1597,88.8255,0.4663,2.2756960000000084,1.0,1.0,2.50343951740925,5383.15888800002,2150.305150400008,0.4589847760655563,2.723437564170489,1.09,0.2741099959935463,4,False,True,21.143141405421147,1.09,2.8,2365.5,944.9,2.2756960000000084,,4,2365.5,944.9,2.2756960000000084,,4,2365.5,944.9,2.2756960000000084,,4,5383.15888800002,2.50343951740925,5383.15888800002,2.50343951740925,5383.15888800002,2.50343951740925,
